NDB_No;Shrt_Desc;Water_(g);Energ_Kcal;Protein_(g);Lipid_Tot_(g);Carbohydrt_(g);Fiber_TD_(g);Sugar_Tot_(g);Iron_(mg);Cholestrl_(mg)
9427;ABIYUCH,RAW;799;69;15;1;176;53;855;161;
9001;ACEROLA,(WEST INDIAN CHERRY),RAW;9141;32;4;3;769;11;;2;0
11700;AMARANTH LEAVES,CKD,BLD,DRND,W/SALT;9149;21;211;18;411;;;226;0
9008;APPLES,CND,SWTND,SLICED,DRND,HTD;8228;67;18;43;1684;2;1484;24;0
9007;APPLES,CND,SWTND,SLICED,DRND,UNHTD;8236;67;18;49;167;17;15;23;0
9010;APPLES,DEHYD (LO MOIST),SULFURED,STWD;7936;74;28;12;1991;26;;43;0
9009;APPLES,DEHYD (LO MOIST),SULFURED,UNCKD;3;346;132;58;9353;124;8113;2;0
9013;APPLES,DRIED,SULFURED,STWD,W/ SUGAR;7876;83;2;7;2073;19;;31;0
9012;APPLES,DRIED,SULFURED,STWD,WO/ SUGAR;8413;57;22;7;1532;2;1332;33;0
9011;APPLES,DRIED,SULFURED,UNCKD;3176;243;93;32;6589;87;5719;14;0
9015;APPLES,FRZ,UNSWTND,HTD;8716;47;29;33;12;13;;19;0
9014;APPLES,FRZ,UNSWTND,UNHTD;8685;48;28;32;1231;13;101;18;0
9504;APPLES,RAW,FUJI,W/ SKN;8416;63;2;18;1522;21;1168;1;
9503;APPLES,RAW,GALA,W/ SKN;8576;57;25;12;1368;23;1037;12;
9501;APPLES,RAW,GOLDEN DELICIOUS,W/ SKN;8581;57;28;15;136;24;1004;13;
9502;APPLES,RAW,GRANNY SMITH,W/ SKN;8546;58;44;19;1361;28;959;15;
9500;APPLES,RAW,RED DELICIOUS,W/ SKN;8533;59;27;2;1406;23;1048;11;
9003;APPLES,RAW,WITH SKIN;8556;52;26;17;1381;24;1039;12;0
9004;APPLES,RAW,WITHOUT SKIN;8667;48;27;13;1276;13;101;7;0
9006;APPLES,RAW,WO/ SKN,CKD,MICROWAVE;8463;56;28;42;1441;28;1161;17;0
9005;APPLES,RAW,WO/SKN,CKD,BLD;8547;53;26;36;1364;24;1101;19;0
9402;APPLESAUCE,CND,SWTND,W/SALT;7958;76;18;18;1991;12;;35;0
9020;APPLESAUCE,CND,SWTND,WO/ SALT (INCLUDES USDA COMMODITY);8198;68;16;17;1749;12;1467;12;0
